player,position,team,is_active,year_signed,years,value,apy,guaranteed,apy_cap_pct,inflated_value,inflated_apy,inflated_guaranteed,otc_id,gsis_id
Joe Burrow,QB,Bengals,True,2023,5.0,275.0,55.0,146.51,0.245,368.460854,73.692171,196.302544,8741,00-0036442
Dak Prescott,QB,Cowboys,True,2024,4.0,240.0,60.0,129.0,0.235,283.038371,70.759593,152.133125,4848,00-0033077
Justin Herbert,QB,Chargers,True,2023,5.0,262.5,52.5,133.738375,0.23399999999999999,351.712633,70.342527,179.190385,8746,00-0036355
Lamar Jackson,QB,Ravens,True,2023,5.0,260.0,52.0,135.0,0.231,348.362989,69.672598,180.880783,6917,00-0034796
Jalen Hurts,QB,Eagles,True,2023,5.0,255.0,51.0,110.0,0.22699999999999998,341.663701,68.33274,147.384342,8793,00-0036389
Deshaun Watson,QB,Browns,True,2022,5.0,230.0,46.0,230.0,0.221,332.737752,66.54755,332.737752,5596,00-0033537
Trevor Lawrence,QB,Jaguars,True,2024,5.0,275.0,55.0,142.0,0.215,324.3148,64.86296,167.46437,9465,00-0036971
Jordan Love,QB,Packers,True,2024,4.0,220.0,55.0,100.8,0.215,259.45184,64.86296,118.876116,8766,00-0036264
Patrick Mahomes,QB,Chiefs,True,2026,7.0,448.0,64.0,95.55,0.212,448.0,64.0,95.55,5594,00-0033873
Jared Goff,QB,Lions,True,2024,4.0,212.0,53.0,113.611832,0.20800000000000002,250.017228,62.504307,133.985449,4714,00-0033106
Josh Allen,QB,Bills,True,2025,6.0,330.0,55.0,147.0,0.19699999999999998,356.002865,59.333811,158.583095,6892,00-0034857
Brock Purdy,QB,49ers,True,2025,5.0,265.0,53.0,100.0,0.19,285.881089,57.176218,107.879656,10307,00-0037834
Baker Mayfield,QB,Buccaneers,True,2026,3.0,165.0,55.0,70.0,0.183,165.0,55.0,70.0,6886,00-0034855
Matt Stafford,QB,Rams,True,2026,1.0,55.0,55.0,90.0,0.183,55.0,55.0,90.0,1060,00-0026498
Daniel Jones,QB,Colts,True,2026,2.0,88.0,44.0,49.49,0.146,88.0,44.0,49.49,7797,00-0035710
Sam Darnold,QB,Seahawks,True,2025,3.0,100.5,33.5,37.5,0.12,108.419054,36.139685,40.454871,6888,00-0034869
Malik Willis,QB,Dolphins,True,2026,3.0,67.5,22.5,45.0,0.075,67.5,22.5,45.0,10131,00-0038128
Aaron Rodgers,QB,Steelers,True,2026,1.0,22.5,22.5,22.0,0.075,22.5,22.5,22.0,1085,00-0023459
Jacoby Brissett,QB,Cardinals,True,2026,1.0,15.5,15.5,15.5,0.051,15.5,15.5,15.5,4804,00-0033119
Fernando Mendoza,QB,Raiders,True,2026,4.0,57.270598,14.31765,57.270598,0.048,57.270598,14.31765,57.270598,13145,00-0041562
Cam Ward,QB,Titans,True,2025,4.0,48.839604,12.209901,48.839604,0.044000000000000004,52.687997,13.171999,52.687997,12361,00-0040676
Bryce Young,QB,Panthers,True,2023,4.0,37.955074,9.488769,37.955074,0.042,50.854396,12.7136,50.854396,10825,00-0039150
C.J. Stroud,QB,Texans,True,2023,4.0,36.279244,9.069811,36.279244,0.04,48.609023,12.152256,48.609023,10826,00-0039163
Justin Fields,QB,Chiefs,True,2025,1.0,11.0,11.0,11.0,0.039,11.866762,11.866762,11.866762,9475,00-0036945
Caleb Williams,QB,Bears,True,2024,4.0,39.486058,9.871515,39.486058,0.039,46.566956,11.64174,46.566956,11609,00-0039918
Anthony Richardson,QB,Colts,True,2023,4.0,33.99403,8.498508,33.99403,0.038,45.547161,11.386791,45.547161,10828,00-0039164
Kirk Cousins,QB,Raiders,True,2026,1.0,11.3,11.3,11.3,0.038,11.3,11.3,11.3,1443,00-0029604
Jayden Daniels,QB,Commanders,True,2024,4.0,37.74665,9.436663,37.74665,0.037000000000000005,44.515626,11.128907,44.515626,11610,00-0039910
Drake Maye,QB,Patriots,True,2024,4.0,36.639764,9.159941,36.639764,0.036000000000000004,43.210246,10.802562,43.210246,11611,00-0039851
Davis Mills,QB,Texans,True,2025,1.0,7.0,7.0,10.25,0.025,7.551576,7.551576,11.057665,9531,00-0036898
Marcus Mariota,QB,Commanders,True,2026,1.0,7.0,7.0,6.39,0.023,7.0,7.0,6.39,3850,00-0032268
Michael Penix Jr.,QB,Falcons,True,2024,4.0,22.882636,5.720659,22.882636,0.022000000000000002,26.9861,6.746525,26.9861,11616,00-0039917
Jameis Winston,QB,Giants,True,2026,2.0,13.0,6.5,12.24,0.022000000000000002,13.0,6.5,12.24,3849,00-0031503
Jarrett Stidham,QB,Broncos,True,2025,2.0,12.0,6.0,6.99,0.021,12.945559,6.472779,7.540788,7924,00-0035264
J.J. McCarthy,QB,Vikings,True,2024,4.0,21.854796,5.463699,21.854796,0.021,25.773941,6.443485,25.773941,11618,00-0039923
Ty Simpson,QB,Rams,True,2026,4.0,25.412156,6.353039,25.412156,0.021,25.412156,6.353039,25.412156,13157,00-0041568
Joe Flacco,QB,Bengals,True,2026,1.0,6.0,6.0,4.0,0.02,6.0,6.0,4.0,1383,00-0026158
Gardner Minshew,QB,Cardinals,True,2026,1.0,5.75,5.75,5.14,0.019,5.75,5.75,5.14,7969,00-0035289
Bo Nix,QB,Broncos,True,2024,4.0,18.613166,4.653292,18.613166,0.018000000000000002,21.951001,5.487751,21.951001,11620,00-0039732
Tyson Bagent,QB,Bears,True,2025,2.0,10.0,5.0,2.53,0.018000000000000002,10.787966,5.393983,2.729355,11238,00-0038416
Mitchell Trubisky,QB,Titans,True,2026,2.0,10.5,5.25,6.825,0.017,10.5,5.25,6.825,5586,00-0033869
Jaxson Dart,QB,Giants,True,2025,4.0,16.977942,4.244486,16.977942,0.015,18.315745,4.578937,18.315745,12385,00-0040691
Mason Rudolph,QB,Steelers,True,2025,2.0,7.5,3.75,3.0,0.013000000000000001,8.090974,4.045487,3.23639,6961,00-0034771
Kenny Pickett,QB,Panthers,True,2026,1.0,4.0,4.0,4.0,0.013000000000000001,4.0,4.0,4.0,10065,00-0038102
Mac Jones,QB,49ers,True,2025,2.0,7.0,3.5,4.75,0.013000000000000001,7.551576,3.775788,5.124284,9479,00-0036972
Andy Dalton,QB,PHI/CAR,True,2026,1.0,3.5,3.5,3.5,0.012,3.5,3.5,3.5,160,00-0027973
Geno Smith,QB,Jets,True,2026,1.0,3.3,3.3,3.3,0.011000000000000001,3.3,3.3,3.3,2249,00-0030565
