season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club
2026,PIT,QB,QB,8.0,ACT,Aaron Rodgers,Aaron,Rodgers,1983-12-02,74,223,California; Butte College,00-0023459,8439,0ce48193-e2fa-466e-a986-33f751add206,7200,4307,2241,RodgAa00,2593,96,21.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",ROD339293,29851,3200524f-4433-9293-a3cf-ad7758d03003,2005.0,2005.0,GB
2026,ATL,K,K,6.0,ACT,Nick Folk,Nicholas,Folk,1984-11-05,73,225,Arizona,00-0025565,10621,b37c621e-1125-4c35-bea0-fcabb1527060,8432,5365,3794,FolkNi20,11694,650,19.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcfiv2cc7ky37yq9iklp",FOL378021,32371,3200464f-4c37-8021-409f-36e78a589e4b,2007.0,2007.0,DAL
2026,CAR,LS,LS,44.0,ACT,J.J. Jansen,Jeffrey,Jansen,1986-01-20,74,235,Notre Dame,00-0026027,,,,,,,,,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vmbidsuvur7zfmpt9xak",JAN681650,33557,32004a41-4e68-1650-bdb2-b3ecc68bb736,2008.0,2008.0,
2026,CIN,QB,QB,16.0,ACT,Joe Flacco,Joseph,Flacco,1985-01-16,78,245,Delaware; Pittsburgh,00-0026158,11252,64797df2-efd3-4b27-86ee-1d48f7edb09f,8795,5648,4332,FlacJo00,611,19,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vbqptn8emdlbeaz1kvmx",FLA009602,33099,3200464c-4100-9602-96e8-665718e215c0,2008.0,2008.0,BAL
2026,BAL,DL,DE,93.0,ACT,Calais Campbell,Calais,Campbell,1986-09-01,80,307,Miami,00-0026190,11284,0333b8f0-3aab-45aa-a684-6d402a309413,8827,5587,4364,CampCa99,3341,125,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/juvpepl8uc1p9rs7upsf",CAM208843,33131,32004341-4d20-8843-b05a-24f8ec79f300,2008.0,2008.0,ARI
2026,CIN,QB,QB,11.0,ACT,Josh Johnson,Joshua,Johnson,1986-05-15,75,219,San Diego,00-0026300,11394,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1,8937,5653,4474,JohnJo05,6489,260,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ibuhbuhomisj4t8vvhay",JOH000001,33241,32004a4f-4800-0001-966a-b4f304503fea,2008.0,2008.0,TB
2026,LA,QB,QB,9.0,ACT,Matthew Stafford,John,Stafford,1988-02-07,75,214,Georgia,00-0026498,12483,ade43b1a-0601-4672-83b6-d246bc066a19,9265,5971,4924,StafMa00,9038,421,17.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",STA134157,34452,32005354-4113-4157-19b1-37e6835d09b9,2009.0,2009.0,DET
2026,SF,LS,LS,46.0,ACT,Jon Weeks,Jonathan,Weeks,1986-02-17,70,242,Baylor,00-0027224,,,,,,,,,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/efqsxmef1aoqnw6co1au",WEE504348,35731,32005745-4550-4348-e7fc-6621be523408,2010.0,2010.0,
2026,TEN,LS,LS,46.0,ACT,Morgan Cox,Morgan,Cox,1986-04-26,76,233,Tennessee,00-0027557,,,,,,,,,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lqdswjw8fzenqmc06zbe",COX524880,36086,3200434f-5852-4880-cd4f-5e8dfeb6ae6c,2010.0,2010.0,
2026,SF,OL,OT,71.0,ACT,Trent Williams,Trenton,Williams,1988-07-19,77,320,Oklahoma,00-0027857,,,,,,,,,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/z3rgsbkzy0sripzunidx",WIL547553,35443,32005749-4c54-7553-75b9-3d34c5460f69,2010.0,2010.0,WAS
