season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club
2026,PIT,QB,QB,8.0,UFA,Aaron Rodgers,Aaron,Rodgers,1983-12-02,74,223,California; Butte College,00-0023459,8439.0,0ce48193-e2fa-466e-a986-33f751add206,7200.0,4307.0,2241.0,RodgAa00,2593.0,96.0,21.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",ROD339293,29851.0,3200524f-4433-9293-a3cf-ad7758d03003,2005.0,2005.0,GB
2026,BUF,K,K,15.0,UFA,Matt Prater,Matthew,Prater,1984-08-10,70,201,UCF,00-0023853,11122.0,67f5e782-f91c-4536-9818-cf4a0e7e821d,8565.0,5051.0,3471.0,PratMa20,549.0,17.0,19.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pj981bi535y4jwy6skr1",PRA143616,31446.0,32005052-4114-3616-ccef-0127103fb075,2007.0,2007.0,
2026,ATL,K,K,,ACT,Nick Folk,Nicholas,Folk,1984-11-05,73,222,Arizona,00-0025565,10621.0,b37c621e-1125-4c35-bea0-fcabb1527060,8432.0,5365.0,3794.0,FolkNi20,11694.0,650.0,19.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qcfiv2cc7ky37yq9iklp",FOL378021,32371.0,3200464f-4c37-8021-409f-36e78a589e4b,2007.0,2007.0,DAL
2026,CAR,LS,LS,44.0,ACT,J.J. Jansen,Jeffrey,Jansen,1986-01-20,74,235,Notre Dame,00-0026027,,,,,,,,,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vmbidsuvur7zfmpt9xak",JAN681650,33557.0,32004a41-4e68-1650-bdb2-b3ecc68bb736,2008.0,2008.0,
2026,CIN,QB,QB,16.0,ACT,Joe Flacco,Joseph,Flacco,1985-01-16,78,245,Delaware; Pittsburgh,00-0026158,11252.0,64797df2-efd3-4b27-86ee-1d48f7edb09f,8795.0,5648.0,4332.0,FlacJo00,611.0,19.0,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vbqptn8emdlbeaz1kvmx",FLA009602,33099.0,3200464c-4100-9602-96e8-665718e215c0,2008.0,2008.0,BAL
2026,BAL,DL,DE,,ACT,Calais Campbell,Calais,Campbell,1986-09-01,80,315,Miami,00-0026190,11284.0,0333b8f0-3aab-45aa-a684-6d402a309413,8827.0,5587.0,4364.0,CampCa99,3341.0,125.0,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/juvpepl8uc1p9rs7upsf",CAM208843,33131.0,32004341-4d20-8843-b05a-24f8ec79f300,2008.0,2008.0,ARI
2026,CIN,QB,QB,,ACT,Josh Johnson,Joshua,Johnson,1986-05-15,75,214,San Diego,00-0026300,11394.0,73e133bf-d3f7-4fda-bd25-2fde66cb8ee1,8937.0,5653.0,4474.0,JohnJo05,6489.0,260.0,18.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ibuhbuhomisj4t8vvhay",JOH000001,33241.0,32004a4f-4800-0001-966a-b4f304503fea,2008.0,2008.0,TB
2026,LA,QB,QB,9.0,ACT,Matthew Stafford,John,Stafford,1988-02-07,75,214,Georgia,00-0026498,12483.0,ade43b1a-0601-4672-83b6-d246bc066a19,9265.0,5971.0,4924.0,StafMa00,9038.0,421.0,17.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/svxl2pk2cuqf26zrhii4",STA134157,34452.0,32005354-4113-4157-19b1-37e6835d09b9,2009.0,2009.0,DET
2026,NYG,K,K,9.0,UFA,Graham Gano,Graham,Gano,1987-04-09,74,202,Florida State,00-0026858,12460.0,63f8a401-f308-4463-9d0b-4335b98da682,9526.0,6045.0,5443.0,GanoGr44,10333.0,503.0,17.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wp5wochy7uuqcgyjcrrd",GAN308500,35102.0,32004741-4e30-8500-b62f-cb2bc1d26244,2009.0,2009.0,
2026,SF,P,P,7.0,UFA,Thomas Morstead,Thomas,Morstead,1986-03-08,76,225,SMU,00-0027114,12701.0,e5371625-0c83-4f1f-9252-c7e0b6bc616e,9428.0,6301.0,5088.0,MorsTh00,9201.0,445.0,17.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uicxa9bwvrenvcwnoklm",MOR758512,34615.0,32004d4f-5275-8512-839f-313ab30fb191,2009.0,2009.0,NO
2026,SF,LS,LS,46.0,ACT,Jon Weeks,Jonathan,Weeks,1986-02-17,70,242,Baylor,00-0027224,,,,,,,,,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/efqsxmef1aoqnw6co1au",WEE504348,35731.0,32005745-4550-4348-e7fc-6621be523408,2010.0,2010.0,
2026,TEN,LS,LS,46.0,ACT,Morgan Cox,Morgan,Cox,1986-04-26,76,233,Tennessee,00-0027557,,,,,,,,,16.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lqdswjw8fzenqmc06zbe",COX524880,36086.0,3200434f-5852-4880-cd4f-5e8dfeb6ae6c,2010.0,2010.0,
